DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETGIFC,DPETSPEP,DPETBILP,DPETGIFP,DPETVOCC,DPETVHSC,DPETVOCP,DPETVHSP,DPNTALLC
"178901","AGUA DULCE ISD",420,48,6,10,11.4,1.4,2.4,109,101,26,70.1,421
"178902","BISHOP CISD",1458,222,65,40,15.2,4.5,2.7,460,458,31.6,86.1,1463
"178903","CALALLEN ISD",3735,682,133,288,18.3,3.6,7.7,1084,942,29,82.1,3745
"178904","CORPUS CHRISTI ISD",33047,5500,2782,1062,16.6,8.4,3.2,6402,5522,19.4,54.4,33103
"178905","DRISCOLL ISD",398,40,37,17,10.1,9.3,4.3,2,0,0.5,0,398
"178906","LONDON ISD",1806,145,44,145,8,2.4,8,660,502,36.5,93,1808
"178908","PORT ARANSAS ISD",584,60,11,40,10.3,1.9,6.8,156,146,26.7,71.9,585
"178909","ROBSTOWN ISD",2570,392,106,207,15.3,4.1,8.1,896,632,34.9,84.3,2570
"178912","TULOSO-MIDWAY ISD",3668,420,286,242,11.5,7.8,6.6,903,849,24.6,76.6,3671
"178913","BANQUETE ISD",742,98,22,32,13.2,3,4.3,243,232,32.7,93.9,744
"178914","FLOUR BLUFF ISD",5549,964,193,658,17.4,3.5,11.9,1803,1304,32.5,67.2,5559
"178915","WEST OSO ISD",1770,276,161,118,15.6,9.1,6.7,409,407,23.1,82.9,1778
"179901","PERRYTON ISD",1790,240,639,105,13.4,35.7,5.9,486,436,27.2,77.6,1802
"180901","BOYS RANCH ISD",148,34,6,12,23,4.1,8.1,75,73,50.7,83,148
"180902","VEGA ISD",339,50,18,11,14.7,5.3,3.2,104,104,30.7,96.3,340
"180903","ADRIAN ISD",141,24,15,7,17,10.6,5,39,39,27.7,92.9,141
"180904","WILDORADO ISD",215,31,2,8,14.4,0.9,3.7,92,66,42.8,97.1,215
"181901","BRIDGE CITY ISD",3141,419,264,62,13.3,8.4,2,1273,801,40.5,90.2,3157
"181905","ORANGEFIELD ISD",1776,273,33,83,15.4,1.9,4.7,751,512,42.3,90.9,1781
"181906","WEST ORANGE-COVE CISD",2592,402,215,173,15.5,8.3,6.7,829,580,32,88,2592
"181907","VIDOR ISD",4163,783,124,186,18.8,3,4.5,943,938,22.7,79.8,4165
"181908","LITTLE CYPRESS-MAURICEVILLE CISD",3313,646,137,103,19.5,4.1,3.1,1340,867,40.4,86.7,3320
"182901","GORDON ISD",227,36,13,24,15.9,5.7,10.6,107,67,47.1,91.8,227
