DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETGIFC,DPETSPEP,DPETBILP,DPETGIFP,DPETVOCC,DPETVHSC,DPETVOCP,DPETVHSP,DPNTALLC
"220906","GRAPEVINE-COLLEYVILLE ISD",13502,1771,1654,2586,13.1,12.3,19.2,4392,2968,32.5,62.6,13541
"220907","KELLER ISD",31986,5630,3863,2848,17.6,12.1,8.9,12115,9167,37.9,84.7,32042
"220908","MANSFIELD ISD",35272,5054,5590,2616,14.3,15.8,7.4,9146,7728,25.9,64,35354
"220910","LAKE WORTH ISD",3243,529,997,204,16.3,30.7,6.3,1264,805,39,84.6,3249
"220912","CROWLEY ISD",16976,2286,3047,1663,13.5,17.9,9.8,6474,4307,38.1,80.3,17011
"220914","KENNEDALE ISD",2751,415,425,265,15.1,15.4,9.6,963,806,35,85.5,2754
"220915","AZLE ISD",7288,1400,704,461,19.2,9.7,6.3,2743,1809,37.6,80.5,7304
"220916","HURST-EULESS-BEDFORD ISD",23198,3444,5386,1806,14.8,23.2,7.8,6340,4869,27.3,70.7,23262
"220917","CASTLEBERRY ISD",3844,650,1539,314,16.9,40,8.2,1547,1002,40.2,88.3,3851
"220918","EAGLE MT-SAGINAW ISD",23898,4150,3824,1795,17.4,16,7.5,6291,5327,26.3,69.1,23982
"220919","CARROLL ISD",8094,882,329,1971,10.9,4.1,24.4,1870,1811,23.1,65.2,8105
"220920","WHITE SETTLEMENT ISD",6808,1021,1288,367,15,18.9,5.4,2617,1654,38.4,78.2,6831
"221801","TEXAS COLLEGE PREPARATORY ACADEMIES",16601,1798,1876,0,10.8,11.3,0,1718,1540,10.3,48.2,16602
"221901","ABILENE ISD",14373,2869,1274,1378,20,8.9,9.6,3517,3059,24.5,78.1,14536
"221904","MERKEL ISD",1090,292,27,40,26.8,2.5,3.7,303,245,27.8,87.2,1090
"221905","TRENT ISD",144,35,3,11,24.3,2.1,7.6,42,29,29.2,90.6,144
"221911","JIM NED CISD",1635,258,14,169,15.8,0.9,10.3,480,371,29.4,80,1639
"221912","WYLIE ISD",5595,842,136,454,15,2.4,8.1,1289,1284,23,83.5,5606
"222901","TERRELL COUNTY ISD",114,24,3,13,21.1,2.6,11.4,50,33,43.9,80.5,114
"223901","BROWNFIELD ISD",1607,322,188,65,20,11.7,4,478,420,29.7,85,1608
"223902","MEADOW ISD",230,48,12,13,20.9,5.2,5.7,101,72,43.9,94.7,230
"223904","WELLMAN-UNION CISD",248,28,34,9,11.3,13.7,3.6,63,51,25.4,92.7,248
"224901","THROCKMORTON COLLEGIATE ISD",137,29,0,14,21.2,0,10.2,26,26,19,89.7,144
"224902","WOODSON ISD",177,32,0,8,18.1,0,4.5,80,60,45.2,83.3,178
"225902","MOUNT PLEASANT ISD",5145,968,2902,438,18.8,56.4,8.5,1515,1350,29.4,86.3,5153
"225906","CHAPEL HILL ISD",927,148,155,78,16,16.7,8.4,271,270,29.2,91.8,928
"225907","HARTS BLUFF ISD",891,145,374,26,16.3,42,2.9,146,125,16.4,55.8,891
"226801","TEXAS LEADERSHIP PUBLIC SCHOOLS",4202,593,192,0,14.1,4.6,0,1106,773,26.3,71.9,4202
"226901","CHRISTOVAL ISD",616,97,0,32,15.7,0,5.2,239,190,38.8,95,617
"226903","SAN ANGELO ISD",12982,1857,894,720,14.3,6.9,5.5,2760,2705,21.3,66.7,13004
"226905","WATER VALLEY ISD",308,82,9,21,26.6,2.9,6.8,142,86,46.1,84.3,310
"226906","WALL ISD",1311,173,12,136,13.2,0.9,10.4,421,330,32.1,89.7,1313
"226907","GRAPE CREEK ISD",1196,284,99,87,23.7,8.3,7.3,339,256,28.3,75.7,1196
"226908","VERIBEST ISD",263,38,18,11,14.4,6.8,4.2,98,81,37.3,92,263
"227506","UNIVERSITY OF TEXAS AT AUSTIN H S",1056,88,17,152,8.3,1.6,14.4,500,500,47.3,47.3,1056
"227803","WAYSIDE SCHOOLS",1787,306,901,0,17.1,50.4,0,193,191,10.8,80.9,1787
"227804","NYOS CHARTER SCHOOL",1667,208,377,0,12.5,22.6,0,377,221,22.6,61.9,1667
"227805","TEXAS EMPOWERMENT ACADEMY",716,73,0,0,10.2,0,0,31,30,4.3,37.5,716
"227806","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL",585,273,19,5,46.7,3.2,0.9,151,132,25.8,35.5,587
"227814","CHAPARRAL STAR ACADEMY",364,22,33,0,6,9.1,0,67,64,18.4,57.1,364
"227816","HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS",4647,403,2396,521,8.7,51.6,11.2,710,703,15.3,72.8,4647
"227817","CEDARS INTERNATIONAL ACADEMY",524,90,309,19,17.2,59,3.6,105,54,20,46.6,524
"227819","UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL",304,71,33,13,23.4,10.9,4.3,0,0,0,0,304
"227820","KIPP TEXAS PUBLIC SCHOOLS",32754,3530,14583,0,10.8,44.5,0,7100,5656,21.7,71.7,32771
"227821","AUSTIN DISCOVERY SCHOOL",202,40,0,0,19.8,0,0,0,0,0,0,202
"227824","VALERE PUBLIC SCHOOLS",871,110,368,0,12.6,42.3,0,76,9,8.7,6.2,871
"227825","AUSTIN ACHIEVE PUBLIC SCHOOLS",2713,259,1557,0,9.5,57.4,0,355,346,13.1,59.6,2713
"227826","MONTESSORI FOR ALL",470,62,126,0,13.2,26.8,0,0,0,0,0,470
"227827","THE EXCEL CENTER (FOR ADULTS)",1196,7,91,0,0.6,7.6,0,656,656,54.8,54.8,1196
"227829","VALOR EDUCATION",4127,452,319,0,11,7.7,0,12,7,0.3,1.2,4127
"227901","AUSTIN ISD",72175,13265,22400,10032,18.4,31,13.9,17170,12393,23.8,58.6,72272
"227904","PFLUGERVILLE ISD",25451,4005,8012,2094,15.7,31.5,8.2,6140,5488,24.1,68.8,25477
"227907","MANOR ISD",9943,1085,4730,1041,10.9,47.6,10.5,1884,1652,18.9,51.5,9961
"227909","EANES ISD",7590,1025,221,1032,13.5,2.9,13.6,1652,1607,21.8,56,7604
"227910","DEL VALLE ISD",11681,2131,6166,570,18.2,52.8,4.9,3133,2412,26.8,62.6,11715
"227912","LAGO VISTA ISD",1873,312,164,144,16.7,8.8,7.7,613,597,32.7,92.4,1887
"227913","LAKE TRAVIS ISD",10970,1612,943,891,14.7,8.6,8.1,3372,2425,30.7,68,11008
"228901","GROVETON ISD",752,146,11,57,19.4,1.5,7.6,281,219,37.4,90.9,754
"228903","TRINITY ISD",1179,166,161,32,14.1,13.7,2.7,374,319,31.7,88.9,1179
"228904","CENTERVILLE ISD",145,29,0,7,20,0,4.8,55,42,37.9,97.7,145
"228905","APPLE SPRINGS ISD",179,31,0,6,17.3,0,3.4,66,53,36.9,75.7,179
"229901","COLMESNEIL ISD",414,74,0,0,17.9,0,0,88,87,21.3,71.3,414
"229903","WOODVILLE ISD",1191,264,67,87,22.2,5.6,7.3,399,316,33.5,87.8,1196
"229904","WARREN ISD",1175,198,9,66,16.9,0.8,5.6,310,305,26.4,90.2,1181
"229905","SPURGER ISD",394,68,6,26,17.3,1.5,6.6,109,88,27.7,86.3,396
"229906","CHESTER ISD",193,24,1,3,12.4,0.5,1.6,103,73,53.4,91.3,195
"230901","BIG SANDY ISD",648,109,33,25,16.8,5.1,3.9,270,172,41.7,90.1,649
"230902","GILMER ISD",2943,371,249,161,12.6,8.5,5.5,800,797,27.2,89.2,2946
"230903","ORE CITY ISD",788,138,95,70,17.5,12.1,8.9,218,195,27.7,88.6,788
"230904","UNION HILL ISD",282,31,17,2,11,6,0.7,117,82,41.5,95.3,282
"230905","HARMONY ISD",895,99,51,79,11.1,5.7,8.8,401,249,44.8,91.2,895
"230906","NEW DIANA ISD",1130,112,15,62,9.9,1.3,5.5,283,281,25,85.4,1136
"230908","UNION GROVE ISD",719,107,18,52,14.9,2.5,7.2,309,223,43,96.5,720
"231901","MCCAMEY ISD",480,72,50,16,15,10.4,3.3,186,119,38.8,82.6,484
"231902","RANKIN ISD",301,40,24,1,13.3,8,0.3,94,84,31.2,91.3,301
"232901","KNIPPA ISD",404,44,15,28,10.9,3.7,6.9,90,89,22.3,95.7,408
"232902","SABINAL ISD",453,111,24,31,24.5,5.3,6.8,149,115,32.9,81,462
"232903","UVALDE CISD",4010,614,833,232,15.3,20.8,5.8,963,960,24,78.2,4019
"232904","UTOPIA ISD",195,30,13,10,15.4,6.7,5.1,78,59,40,89.4,196
"233901","SAN FELIPE-DEL RIO CISD",9744,1988,2617,580,20.4,26.9,6,2759,2491,28.3,83.4,9767
"233903","COMSTOCK ISD",176,14,7,20,8,4,11.4,19,2,10.8,3.5,176
"234801","RANCH ACADEMY",64,16,0,0,25,0,0,21,20,32.8,34.5,64
"234902","CANTON ISD",2304,284,99,118,12.3,4.3,5.1,750,575,32.6,88.6,2309
"234903","EDGEWOOD ISD",1021,196,43,63,19.2,4.2,6.2,404,253,39.6,90,1022
"234904","GRAND SALINE ISD",1211,171,150,87,14.1,12.4,7.2,447,331,36.9,88.5,1211
"234905","MARTINS MILL ISD",493,64,61,38,13,12.4,7.7,181,140,36.7,96.6,496
"234906","VAN ISD",2347,299,191,161,12.7,8.1,6.9,964,660,41.1,85.9,2358
"234907","WILLS POINT ISD",2891,520,551,188,18,19.1,6.5,725,720,25.1,88.7,2893
"234909","FRUITVALE ISD",382,91,18,30,23.8,4.7,7.9,136,92,35.6,92.9,385
"235901","BLOOMINGTON ISD",789,160,155,26,20.3,19.6,3.3,164,159,20.8,70.7,795
"235902","VICTORIA ISD",12848,2264,1256,1072,17.6,9.8,8.3,4498,3186,35,82.2,12919
"235904","NURSERY ISD",152,13,9,15,8.6,5.9,9.9,0,0,0,0,156
"236801","RAVEN SCHOOL",42,11,2,0,26.2,4.8,0,17,17,40.5,40.5,42
"236802","SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL",437,53,38,36,12.1,8.7,8.2,0,0,0,0,437
"236901","NEW WAVERLY ISD",1073,152,49,61,14.2,4.6,5.7,387,241,36.1,74.2,1074
"236902","HUNTSVILLE ISD",10930,1956,1395,601,17.9,12.8,5.5,3539,3362,32.4,81.8,10960
"237902","HEMPSTEAD ISD",1581,184,566,114,11.6,35.8,7.2,542,357,34.3,77.3,1585
"237904","WALLER ISD",9877,1469,3119,534,14.9,31.6,5.4,2868,2407,29,80.5,9905
"237905","ROYAL ISD",2874,408,1360,123,14.2,47.3,4.3,1103,805,38.4,83.3,2884
"238902","MONAHANS-WICKETT-PYOTE ISD",2164,465,322,77,21.5,14.9,3.6,609,400,28.1,63.4,2181
"238904","GRANDFALLS-ROYALTY ISD",156,40,6,0,25.6,3.8,0,48,31,30.8,79.5,157
"239901","BRENHAM ISD",4838,847,670,308,17.5,13.8,6.4,1477,1112,30.5,72.9,4872
"239903","BURTON ISD",622,70,30,43,11.3,4.8,6.9,225,141,36.2,92.8,623
"240801","TRIUMPH PUBLIC HIGH SCHOOLS CENTRAL TEXAS",322,53,169,2,16.5,52.5,0.6,113,113,35.1,35.1,322
"240901","LAREDO ISD",20252,2521,10873,3417,12.4,53.7,16.9,4978,4916,24.6,82.8,20271
"240903","UNITED ISD",40665,7016,16833,4911,17.3,41.4,12.1,12230,11966,30.1,90.1,40742
"240904","WEBB CISD",240,40,24,9,16.7,10,3.8,63,62,26.3,77.5,240
"241901","BOLING ISD",1151,106,122,57,9.2,10.6,5,305,305,26.5,93,1151
"241902","EAST BERNARD ISD",991,100,66,114,10.1,6.7,11.5,290,290,29.3,96,997
"241903","EL CAMPO ISD",3251,516,463,210,15.9,14.2,6.5,1296,912,39.9,91,3279
"241904","WHARTON ISD",1764,252,278,132,14.3,15.8,7.5,432,431,24.5,76.1,1767
"241906","LOUISE ISD",533,68,75,11,12.8,14.1,2.1,182,142,34.1,92.8,535
"242902","SHAMROCK ISD",343,105,6,14,30.6,1.7,4.1,89,89,25.9,90.8,343
"242903","WHEELER ISD",371,54,70,1,14.6,18.9,0.3,101,101,27.2,91.8,372
"242905","KELTON ISD",129,20,5,14,15.5,3.9,10.9,49,36,38,81.8,129
"242906","FORT ELLIOTT CISD",141,22,3,0,15.6,2.1,0,63,37,44.7,80.4,141
"243901","BURKBURNETT ISD",3210,630,70,355,19.6,2.2,11.1,767,710,23.9,76.7,3213
"243902","ELECTRA ISD",442,114,6,25,25.8,1.4,5.7,185,122,41.9,84.1,442
"243903","IOWA PARK CISD",1900,366,3,186,19.3,0.2,9.8,484,482,25.5,88.3,1904
"243905","WICHITA FALLS ISD",12636,2593,1536,789,20.5,12.2,6.2,3674,2844,29.1,80.9,12644
"243906","CITY VIEW ISD",1152,237,41,37,20.6,3.6,3.2,510,322,44.3,91,1152
"244901","HARROLD ISD",154,24,3,9,15.6,1.9,5.8,73,41,47.4,100,154
"244903","VERNON ISD",1720,374,253,133,21.7,14.7,7.7,565,445,32.8,85.4,1729
"244905","NORTHSIDE ISD",227,32,0,6,14.1,0,2.6,81,59,35.7,95.2,227
"245901","LASARA ISD",342,39,57,22,11.4,16.7,6.4,85,69,24.9,66.3,343
"245902","LYFORD CISD",1396,187,121,129,13.4,8.7,9.2,624,419,44.7,95.4,1396
"245903","RAYMONDVILLE ISD",1962,363,117,144,18.5,6,7.3,456,452,23.2,80.4,1963
"245904","SAN PERLITA ISD",187,30,19,3,16,10.2,1.6,14,14,7.5,20.9,187
"246801","MERIDIAN WORLD SCHOOL LLC",1745,148,259,0,8.5,14.8,0,197,196,11.3,48.6,1745
"246802","GOODWATER MONTESSORI SCHOOL",323,53,25,0,16.4,7.7,0,0,0,0,0,323
"246902","FLORENCE ISD",1141,163,445,53,14.3,39,4.6,463,317,40.6,88.8,1142
"246904","GEORGETOWN ISD",13853,2607,2847,872,18.8,20.6,6.3,4453,3464,32.1,79,13881
"246905","GRANGER ISD",579,94,98,33,16.2,16.9,5.7,207,164,35.8,91.1,580
"246906","HUTTO ISD",10667,1802,2081,795,16.9,19.5,7.5,3188,2450,29.9,77.7,10688
"246907","JARRELL ISD",4136,779,1117,153,18.8,27,3.7,1028,909,24.9,82.4,4157
"246908","LIBERTY HILL ISD",9812,1657,997,1048,16.9,10.2,10.7,2322,1919,23.7,77.8,9836
"246909","ROUND ROCK ISD",46846,6808,9260,7025,14.5,19.8,15,13306,11181,28.4,73.8,46954
"246911","TAYLOR ISD",2912,524,611,191,18,21,6.6,1114,738,38.3,75.8,2930
"246912","THRALL ISD",871,126,66,50,14.5,7.6,5.7,298,257,34.2,91.1,873
"246913","LEANDER ISD",42507,6759,6327,8613,15.9,14.9,20.3,10630,9113,25,65.7,42608
"246914","COUPLAND ISD",322,66,129,6,20.5,40.1,1.9,18,0,5.6,0,323
"247901","FLORESVILLE ISD",4056,594,407,317,14.6,10,7.8,1322,1164,32.6,90.9,4062
"247903","LA VERNIA ISD",3550,583,153,284,16.4,4.3,8,1191,964,33.5,89.9,3563
"247904","POTH ISD",960,132,49,71,13.8,5.1,7.4,308,244,32.1,88.7,962
"247906","STOCKDALE ISD",857,163,41,113,19,4.8,13.2,238,238,27.8,93.7,861
"248901","KERMIT ISD",1336,171,440,41,12.8,32.9,3.1,404,331,30.2,84,1339
"248902","WINK-LOVING ISD",435,71,22,9,16.3,5.1,2.1,162,133,37.2,90.5,438
"249901","ALVORD ISD",841,158,55,86,18.8,6.5,10.2,189,188,22.5,83.6,844
"249902","BOYD ISD",1382,192,100,72,13.9,7.2,5.2,557,370,40.3,88.7,1386
"249903","BRIDGEPORT ISD",2128,366,614,123,17.2,28.9,5.8,641,592,30.1,87.8,2133
"249904","CHICO ISD",572,94,81,44,16.4,14.2,7.7,152,152,26.6,91.6,572
"249905","DECATUR ISD",3774,653,547,319,17.3,14.5,8.5,1411,946,37.4,81.3,3786
"249906","PARADISE ISD",1328,198,43,114,14.9,3.2,8.6,505,308,38,82.6,1331
"249908","SLIDELL ISD",495,88,85,25,17.8,17.2,5.1,166,128,33.5,94.1,497
"250902","HAWKINS ISD",811,138,16,67,17,2,8.3,359,235,44.3,93.6,811
"250903","MINEOLA ISD",1752,279,220,73,15.9,12.6,4.2,643,457,36.7,92.9,1753
"250904","QUITMAN ISD",1207,230,71,84,19.1,5.9,7,388,315,32.1,91,1208
"250905","YANTIS ISD",305,43,51,14,14.1,16.7,4.6,82,80,26.9,88.9,305
"250906","ALBA-GOLDEN ISD",816,166,22,51,20.3,2.7,6.3,329,220,40.3,88,818
"250907","WINNSBORO ISD",1452,240,142,100,16.5,9.8,6.9,650,445,44.8,91.4,1454
"251901","DENVER CITY ISD",1467,181,357,99,12.3,24.3,6.7,489,456,33.3,89.2,1474
"251902","PLAINS ISD",423,60,71,23,14.2,16.8,5.4,113,89,26.7,69,423
"252901","GRAHAM ISD",2146,421,266,73,19.6,12.4,3.4,625,566,29.1,81.3,2148
"252902","NEWCASTLE ISD",225,42,4,3,18.7,1.8,1.3,73,57,32.4,73.1,227
"252903","OLNEY ISD",689,145,98,27,21,14.2,3.9,202,137,29.3,74.9,691
"253901","ZAPATA COUNTY ISD",3282,566,1072,233,17.2,32.7,7.1,940,939,28.6,88.2,3290
"254901","CRYSTAL CITY ISD",1635,298,40,127,18.2,2.4,7.8,575,431,35.2,85.5,1643
"254902","LA PRYOR ISD",435,78,13,44,17.9,3,10.1,111,111,25.5,82.8,439
