DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETVHSC,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETVHSP,DPNTALLC
"071803","TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO",237,21,93,142,0,142,8.9,59.9,39.2,0,59.9,237
"071804","EL PASO ACADEMY",381,44,74,213,0,213,11.5,55.9,19.4,0,55.9,381
"071806","HARMONY PUBLIC SCHOOLS - WEST TEXAS",5297,474,1624,752,516,745,8.9,14.2,30.7,9.7,85.8,5297
"071807","LA FE PREPARATORY SCHOOL",193,15,178,0,0,0,7.8,0,92.2,0,0,193
"071809","VISTA DEL FUTURO CHARTER SCHOOL",338,22,122,1,0,0,6.5,0.3,36.1,0,0,338
"071810","EL PASO LEADERSHIP ACADEMY",795,35,595,303,6,298,4.4,38.1,74.8,0.8,80.3,795
"071901","CLINT ISD",10239,1538,3839,2720,397,2631,15,26.6,37.5,3.9,77.4,10260
"071902","EL PASO ISD",49050,6186,21867,15825,5899,12695,12.6,32.3,44.6,12,74.6,49139
"071903","FABENS ISD",1892,297,894,531,89,512,15.7,28.1,47.3,4.7,84.2,1908
"071904","SAN ELIZARIO ISD",3009,480,1647,879,180,879,16,29.2,54.7,6,86.3,3009
"071905","YSLETA ISD",34875,5687,11068,9512,2385,9463,16.3,27.3,31.7,6.8,79.5,34918
"071906","ANTHONY ISD",752,117,205,149,71,149,15.6,19.8,27.3,9.4,60.3,752
"071907","CANUTILLO ISD",5883,688,2169,1607,666,1459,11.7,27.3,36.9,11.3,76.3,5904
"071908","TORNILLO ISD",761,93,374,294,75,216,12.2,38.6,49.1,9.9,76.6,762
"071909","SOCORRO ISD",47204,6303,13257,16611,3438,13736,13.4,35.2,28.1,7.3,86.4,47304
"072801","PREMIER HIGH SCHOOLS",7819,1022,902,3496,0,3492,13.1,44.7,11.5,0,44.9,7851
"072802","ERATH EXCELS ACADEMY INC",113,15,4,76,0,72,13.3,67.3,3.5,0,70.6,113
"072901","THREE WAY ISD",205,21,28,53,0,35,10.2,25.9,13.7,0,81.4,205
"072902","DUBLIN ISD",1145,120,265,300,69,298,10.5,26.2,23.1,6,91.4,1146
"072903","STEPHENVILLE ISD",3663,627,546,1102,305,969,17.1,30.1,14.9,8.3,86.9,3678
"072904","BLUFF DALE ISD",221,28,0,38,12,38,12.7,17.2,0,5.4,70.4,221
"072908","HUCKABAY ISD",328,29,6,54,28,34,8.8,16.5,1.8,8.5,44.7,330
"072909","LINGLEVILLE ISD",274,35,62,62,33,62,12.8,22.6,22.6,12,78.5,274
"072910","MORGAN MILL ISD",122,19,9,11,10,0,15.6,9,7.4,8.2,0,122
"073901","CHILTON ISD",572,67,118,200,19,143,11.7,35,20.6,3.3,95.3,572
"073903","MARLIN ISD",903,112,162,193,15,191,12.4,21.4,17.9,1.7,76.4,903
"073904","WESTPHALIA ISD",156,19,1,0,14,0,12.2,0,0.6,9,0,156
"073905","ROSEBUD-LOTT ISD",752,118,50,216,48,174,15.7,28.7,6.6,6.4,75.3,756
"074903","BONHAM ISD",1973,387,342,664,105,478,19.6,33.7,17.3,5.3,85.4,1974
"074904","DODD CITY ISD",320,50,6,104,12,77,15.6,32.5,1.9,3.8,81.1,320
"074905","ECTOR ISD",251,60,10,98,0,62,23.9,39,4,0,84.9,252
