DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETVHSC,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETVHSP,DPNTALLC
"101837","CALVIN NELMS CHARTER SCHOOLS",324,33,44,183,0,146,10.2,56.5,13.6,0,86.9,324
"101838","SOUTHWEST PUBLIC SCHOOLS",1625,175,1276,309,152,277,10.8,19,78.5,9.4,52.9,1625
"101840","TWO DIMENSIONS PREPARATORY ACADEMY",435,28,21,0,8,0,6.4,0,4.8,1.8,0,435
"101842","COMQUEST ACADEMY",51,5,19,29,0,25,9.8,56.9,37.3,0,86.2,51
"101845","YES PREP PUBLIC SCHOOLS INC",17622,1568,7956,3893,0,3875,8.9,22.1,45.1,0,53.5,17622
"101846","HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH",3645,336,1559,1064,232,1062,9.2,29.2,42.8,6.4,82.6,3646
"101847","BEATRICE MAYES INSTITUTE CHARTER SCHOOL",458,48,0,39,0,0,10.5,8.5,0,0,0,458
"101849","ACCELERATED INTERMEDIATE ACADEMY",192,7,63,0,0,0,3.6,0,32.8,0,0,192
"101853","BAKERRIPLEY COMMUNITY SCHOOLS",1824,171,1043,0,0,0,9.4,0,57.2,0,0,1824
"101855","MEYERPARK CHARTER",293,27,3,0,0,0,9.2,0,1,0,0,293
"101856","DRAW ACADEMY",677,18,637,0,0,0,2.7,0,94.1,0,0,677
"101858","HARMONY PUBLIC SCHOOLS - HOUSTON NORTH",7104,687,2220,1382,927,1064,9.7,19.5,31.3,13,91.5,7107
"101859","STEP CHARTER SCHOOL",598,51,349,2,0,0,8.5,0.3,58.4,0,0,598
"101861","THE RHODES SCHOOL FOR PERFORMING ARTS",575,70,21,0,9,0,12.2,0,3.7,1.6,0,575
"101862","HARMONY PUBLIC SCHOOLS - HOUSTON WEST",5823,421,1548,1449,818,1446,7.2,24.9,26.6,14,89.3,5823
"101864","THE LAWSON ACADEMY",195,13,0,0,0,0,6.7,0,0,0,0,195
"101868","THE PRO-VISION ACADEMY",395,63,3,141,0,139,15.9,35.7,0.8,0,61.2,395
"101870","BETA ACADEMY",1485,117,335,29,0,29,7.9,2,22.6,0,15.8,1486
"101871","A+ UNLIMITED POTENTIAL",150,24,10,3,0,0,16,2,6.7,0,0,150
"101872","ETOILE ACADEMY CHARTER SCHOOL",806,63,665,0,0,0,7.8,0,82.5,0,0,806
"101873","YELLOWSTONE COLLEGE PREPARATORY",272,43,0,2,0,1,15.8,0.7,0,0,2.1,272
"101874","LEGACY SCHOOL OF SPORT SCIENCES",487,42,19,238,0,234,8.6,48.9,3.9,0,75.7,487
"101875","BLOOM ACADEMY CHARTER SCHOOL",400,57,0,0,0,0,14.3,0,0,0,0,400
"101876","REVE PREPARATORY CHARTER SCHOOL",218,18,37,0,0,0,8.3,0,17,0,0,218
"101877","ELEVATE COLLEGIATE CHARTER SCHOOL",174,6,0,0,0,0,3.4,0,0,0,0,174
"101878","HOUSTON CLASSICAL CHARTER SCHOOL",285,28,35,0,0,0,9.8,0,12.3,0,0,285
"101902","ALDINE ISD",57737,6172,26609,17137,3090,14422,10.7,29.7,46.1,5.4,79.9,57844
"101903","ALIEF ISD",39451,5677,22840,9127,1969,8550,14.4,23.1,57.9,5,70.2,39474
"101905","CHANNELVIEW ISD",9429,1313,4051,2970,495,2549,13.9,31.5,43,5.2,84.7,9434
"101906","CROSBY ISD",6854,967,1501,2318,383,1584,14.1,33.8,21.9,5.6,76.1,6868
"101907","CYPRESS-FAIRBANKS ISD",118187,15098,23173,30515,9460,23500,12.8,25.8,19.6,8,61.1,118470
"101908","DEER PARK ISD",12082,2034,2080,2876,872,2815,16.8,23.8,17.2,7.2,69.3,12122
"101910","GALENA PARK ISD",21089,2819,9000,8529,1533,5545,13.4,40.4,42.7,7.3,80.1,21105
"101911","GOOSE CREEK CISD",24010,3825,5742,5910,1763,5687,15.9,24.6,23.9,7.3,77,24108
"101912","HOUSTON ISD",183603,18693,73518,40877,25501,37802,10.2,22.3,40,13.9,71.6,184109
"101913","HUMBLE ISD",48267,6641,5955,12451,3862,9864,13.8,25.8,12.3,8,62.4,48552
"101914","KATY ISD",94589,15289,23607,23883,8433,19297,16.2,25.2,25,8.9,64.2,94785
"101915","KLEIN ISD",52927,7450,12003,17144,3966,13495,14.1,32.4,22.7,7.5,75.5,53093
"101916","LA PORTE ISD",7102,1124,879,1466,649,1464,15.8,20.6,12.4,9.1,65.2,7115
"101917","PASADENA ISD",47425,6595,16426,9701,3486,9673,13.9,20.5,34.6,7.4,61.4,47486
"101919","SPRING ISD",33912,3977,10928,9815,2483,7410,11.7,28.9,32.2,7.3,75.9,33935
"101920","SPRING BRANCH ISD",33338,4599,13236,6890,4125,5684,13.8,20.7,39.7,12.4,56.2,33407
"101921","TOMBALL ISD",22169,2466,3458,7619,2452,4831,11.1,34.4,15.6,11.1,73.4,22273
"101924","SHELDON ISD",10995,1283,3950,3938,627,3111,11.7,35.8,35.9,5.7,83,11028
"101925","HUFFMAN ISD",3675,669,352,1264,176,972,18.2,34.4,9.6,4.8,83.8,3679
"102901","KARNACK ISD",125,19,9,0,6,0,15.2,0,7.2,4.8,0,125
"102902","MARSHALL ISD",4944,488,1093,1670,401,1185,9.9,33.8,22.1,8.1,79.9,4965
"102903","WASKOM ISD",814,101,75,228,41,226,12.4,28,9.2,5,94.2,817
"102904","HALLSVILLE ISD",21266,3798,1744,13107,721,9646,17.9,61.6,8.2,3.4,77.8,21299
"102905","HARLETON ISD",722,99,10,243,62,201,13.7,33.7,1.4,8.6,88.5,723
"102906","ELYSIAN FIELDS ISD",796,118,8,274,75,193,14.8,34.4,1,9.4,80.1,797
"103901","CHANNING ISD",128,13,17,27,3,25,10.2,21.1,13.3,2.3,92.6,128
"103902","HARTLEY ISD",243,25,77,72,11,72,10.3,29.6,31.7,4.5,96,243
"104901","HASKELL CISD",532,101,6,169,9,143,19,31.8,1.1,1.7,94.7,534
"104903","RULE ISD",130,21,11,55,13,38,16.2,42.3,8.5,10,97.4,130
"104907","PAINT CREEK ISD",104,13,0,23,1,23,12.5,22.1,0,1,88.5,104
"105801","KATHERINE ANNE PORTER SCHOOL",122,22,0,36,0,35,18,29.5,0,0,37.2,123
"105802","TEXAS PREPARATORY SCHOOL",98,18,8,0,0,0,18.4,0,8.2,0,0,98
"105803","KI CHARTER",457,190,0,94,0,78,41.6,20.6,0,0,39.4,457
"105804","DORAL ACADEMY OF TEXAS",346,51,62,0,66,0,14.7,0,17.9,19.1,0,346
"105902","SAN MARCOS CISD",8297,1449,1536,1906,1356,1869,17.5,23,18.5,16.3,75,8311
"105904","DRIPPING SPRINGS ISD",8517,1187,461,1623,605,1622,13.9,19.1,5.4,7.1,65.4,8538
"105905","WIMBERLEY ISD",2691,377,191,679,186,679,14,25.2,7.1,6.9,79.8,2700
"105906","HAYS CISD",23235,3820,5106,6791,1667,5888,16.4,29.2,22,7.2,80.4,23313
"106901","CANADIAN ISD",791,106,115,394,42,273,13.4,49.8,14.5,5.3,93.2,795
"107901","ATHENS ISD",2997,569,732,828,78,721,19,27.6,24.4,2.6,82.8,3008
"107902","BROWNSBORO ISD",2589,430,160,954,163,670,16.6,36.8,6.2,6.3,86.5,2592
"107904","CROSS ROADS ISD",561,85,25,195,34,172,15.2,34.8,4.5,6.1,88.7,562
"107905","EUSTACE ISD",1711,298,87,610,73,368,17.4,35.7,5.1,4.3,79,1711
"107906","MALAKOFF ISD",1440,217,99,406,100,377,15.1,28.2,6.9,6.9,93.8,1441
"107907","TRINIDAD ISD",156,18,12,49,25,38,11.5,31.4,7.7,16,84.4,156
"107908","MURCHISON ISD",169,31,13,39,11,0,18.3,23.1,7.7,6.5,0,170
"107910","LAPOYNOR ISD",493,72,7,171,31,168,14.6,34.7,1.4,6.3,94.4,493
"108802","HORIZON MONTESSORI PUBLIC SCHOOLS",1424,130,445,83,99,0,9.1,5.8,31.3,7,0,1424
"108804","TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY",464,81,176,264,0,264,17.5,56.9,37.9,0,56.9,465
"108807","IDEA PUBLIC SCHOOLS",76819,7858,33060,15815,0,9836,10.2,20.6,43,0,65.1,76819
"108808","VANGUARD ACADEMY",6600,539,3335,1842,399,989,8.2,27.9,50.5,6,93.5,6600
"108809","EXCELLENCE IN LEADERSHIP ACADEMY",220,29,139,0,8,0,13.2,0,63.2,3.6,0,220
"108810","BRILLANTE ACADEMY",196,14,62,0,0,0,7.1,0,31.6,0,0,196
"108902","DONNA ISD",13124,1520,7731,2970,987,2951,11.6,22.6,58.9,7.5,72.4,13131
"108903","EDCOUCH-ELSA ISD",4394,567,1177,1282,404,1151,12.9,29.2,26.8,9.2,84,4398
"108904","EDINBURG CISD",33776,2991,12645,7886,2324,7243,8.9,23.3,37.4,6.9,70.8,33810
"108905","HIDALGO ISD",3019,323,2522,1181,281,985,10.7,39.1,83.5,9.3,91.7,3019
"108906","MCALLEN ISD",20058,3121,7663,6624,2800,5297,15.6,33,38.2,14,79.6,20095
"108907","MERCEDES ISD",4393,605,1242,1740,534,1108,13.8,39.6,28.3,12.2,79.6,4393
"108908","MISSION CISD",14051,1663,5341,5376,1622,3810,11.8,38.3,38,11.5,85.8,14068
"108909","PHARR-SAN JUAN-ALAMO ISD",30001,3507,15463,10274,2020,7771,11.7,34.2,51.5,6.7,84.8,30008
"108910","PROGRESO ISD",1403,124,986,278,154,277,8.8,19.8,70.3,11,58.2,1405
"108911","SHARYLAND ISD",9733,1063,3696,3009,1011,2999,10.9,30.9,38,10.4,85.4,9742
"108912","LA JOYA ISD",23995,3429,12876,7548,2524,6297,14.3,31.5,53.7,10.5,83,23998
"108913","WESLACO ISD",16417,1867,5733,5020,912,3731,11.4,30.6,34.9,5.6,76.1,16430
"108914","LA VILLA ISD",538,53,102,178,40,127,9.9,33.1,19,7.4,72.6,538
"108915","MONTE ALTO ISD",820,80,300,244,9,243,9.8,29.8,36.6,1.1,86.5,820
"108916","VALLEY VIEW ISD",3515,448,2576,1124,326,1122,12.7,32,73.3,9.3,85,3515
"109901","ABBOTT ISD",284,43,4,113,21,71,15.1,39.8,1.4,7.4,93.4,284
"109902","BYNUM ISD",183,45,20,62,11,50,24.6,33.9,10.9,6,86.2,184
"109903","COVINGTON ISD",334,65,24,100,14,75,19.5,29.9,7.2,4.2,88.2,334
"109904","HILLSBORO ISD",1927,317,421,554,68,553,16.5,28.7,21.8,3.5,92.2,1929
"109905","HUBBARD ISD",430,73,15,113,31,113,17,26.3,3.5,7.2,91.1,430
"109907","ITASCA ISD",655,89,115,235,50,178,13.6,35.9,17.6,7.6,88.6,656
"109908","MALONE ISD",91,17,43,0,1,0,18.7,0,47.3,1.1,0,91
"109910","MOUNT CALM ISD",158,36,6,56,8,34,22.8,35.4,3.8,5.1,94.4,159
"109911","WHITNEY ISD",1467,265,116,446,71,373,18.1,30.4,7.9,4.8,83.4,1475
"109912","AQUILLA ISD",320,49,16,102,25,76,15.3,31.9,5,7.8,78.4,321
"109913","BLUM ISD",331,50,5,141,11,91,15.1,42.6,1.5,3.3,94.8,331
"109914","PENELOPE ISD",212,47,19,76,18,64,22.2,35.8,9,8.5,97,212
"110901","ANTON ISD",169,29,5,66,2,49,17.2,39.1,3,1.2,92.5,170
"110902","LEVELLAND ISD",2603,563,235,620,155,613,21.6,23.8,9,6,80.8,2617
"110905","ROPES ISD",576,37,7,152,51,150,6.4,26.4,1.2,8.9,93.2,576
"110906","SMYER ISD",434,64,13,139,31,111,14.7,32,3,7.1,84.1,434
"110907","SUNDOWN ISD",541,59,20,139,57,139,10.9,25.7,3.7,10.5,78.5,551
"110908","WHITHARRAL ISD",213,21,2,79,7,43,9.9,37.1,0.9,3.3,86,213
"111801","LAKE GRANBURY ACADEMY CHARTER SCHOOL",29,13,0,6,0,3,44.8,20.7,0,0,15.8,41
"111901","GRANBURY ISD",7911,1234,952,2804,662,1946,15.6,35.4,12,8.4,86.6,7933
"111902","LIPAN ISD",447,52,22,129,20,128,11.6,28.9,4.9,4.5,92.8,447
"111903","TOLAR ISD",901,105,6,290,40,270,11.7,32.2,0.7,4.4,93.4,908
"112901","SULPHUR SPRINGS ISD",4359,722,824,1360,246,1131,16.6,31.2,18.9,5.6,87.3,4364
"112905","CUMBY COLLEGIATE ISD",450,78,28,132,20,103,17.3,29.3,6.2,4.4,85.1,450
"112906","NORTH HOPKINS ISD",504,66,65,146,37,145,13.1,29,12.9,7.3,94.8,505
"112907","MILLER GROVE ISD",321,45,16,87,11,62,14,27.1,5,3.4,74.7,323
"112908","COMO-PICKTON CISD",754,127,189,219,32,186,16.8,29,25.1,4.2,83.8,756
"112909","SALTILLO ISD",252,41,34,113,12,76,16.3,44.8,13.5,4.8,97.4,253
"112910","SULPHUR BLUFF ISD",228,30,9,112,12,77,13.2,49.1,3.9,5.3,90.6,228
"113901","CROCKETT ISD",1182,199,226,401,52,341,16.8,33.9,19.1,4.4,87.7,1183
"113902","GRAPELAND ISD",597,100,5,178,37,143,16.8,29.8,0.8,6.2,89.9,598
"113903","LOVELADY ISD",533,76,4,219,31,137,14.3,41.1,0.8,5.8,76.5,536
"113905","LATEXO ISD",496,65,31,183,27,125,13.1,36.9,6.3,5.4,88.7,497
"113906","KENNARD ISD",267,49,1,85,16,46,18.4,31.8,0.4,6,71.9,267
"114901","BIG SPRING ISD",3451,635,254,1351,145,861,18.4,39.1,7.4,4.2,82.5,3451
"114902","COAHOMA ISD",1095,161,30,319,44,232,14.7,29.1,2.7,4,76.8,1096
"114904","FORSAN ISD",749,70,35,212,52,210,9.3,28.3,4.7,6.9,89.7,751
"115901","FT HANCOCK ISD",386,42,296,102,23,101,10.9,26.4,76.7,6,87.1,388
"115902","SIERRA BLANCA ISD",98,19,5,38,4,30,19.4,38.8,5.1,4.1,88.2,99
"115903","DELL CITY ISD",72,11,21,17,6,17,15.3,23.6,29.2,8.3,100,72
"116901","CADDO MILLS ISD",2825,504,203,1098,132,670,17.8,38.9,7.2,4.7,91.4,2836
"116902","CELESTE ISD",522,98,28,141,23,141,18.8,27,5.4,4.4,89.8,524
"116903","COMMERCE ISD",1557,302,198,569,112,406,19.4,36.5,12.7,7.2,83.9,1559
"116905","GREENVILLE ISD",5417,901,1598,1638,406,1287,16.6,30.2,29.5,7.5,79.1,5418
"116906","LONE OAK ISD",1145,188,54,333,86,327,16.4,29.1,4.7,7.5,94.8,1146
"116908","QUINLAN ISD",2885,488,631,960,97,705,16.9,33.3,21.9,3.4,86.3,2889
"116909","WOLFE CITY ISD",719,108,90,212,52,212,15,29.5,12.5,7.2,94.2,720
"116910","CAMPBELL ISD",285,64,40,90,9,70,22.5,31.6,14,3.2,93.3,287
"116915","BLAND ISD",792,128,205,266,52,226,16.2,33.6,25.9,6.6,95.4,794
"116916","BOLES ISD",552,93,37,161,34,159,16.8,29.2,6.7,6.2,85.5,552
"117901","BORGER ISD",2365,410,231,642,128,542,17.3,27.1,9.8,5.4,75.8,2372
"117903","SANFORD-FRITCH ISD",721,122,6,178,31,178,16.9,24.7,0.8,4.3,75.4,721
"117904","PLEMONS-STINNETT-PHILLIPS CISD",564,101,7,166,43,159,17.9,29.4,1.2,7.6,86.9,564
"117907","SPRING CREEK ISD",83,15,3,5,5,5,18.1,6,3.6,6,50,83
"118902","IRION COUNTY ISD",337,50,10,118,27,71,14.8,35,3,8,81.6,337
"119901","BRYSON ISD",251,33,6,71,6,69,13.1,28.3,2.4,2.4,97.2,251
"119902","JACKSBORO ISD",1077,170,180,454,71,332,15.8,42.2,16.7,6.6,95.4,1082
"119903","PERRIN-WHITT CISD",322,51,13,118,14,96,15.8,36.6,4,4.3,93.2,322
"120901","EDNA ISD",1574,225,144,380,146,376,14.3,24.1,9.1,9.3,81.9,1576
"120902","GANADO ISD",691,66,97,184,55,183,9.6,26.6,14,8,84.7,696
"120905","INDUSTRIAL ISD",1164,123,31,462,90,276,10.6,39.7,2.7,7.7,80.7,1170
"121902","BROOKELAND ISD",371,53,0,83,0,82,14.3,22.4,0,0,83.7,371
"121903","BUNA ISD",1457,284,13,472,102,350,19.5,32.4,0.9,7,86,1460
"121904","JASPER ISD",2191,366,182,727,84,595,16.7,33.2,8.3,3.8,88.4,2194
"121905","KIRBYVILLE CISD",1451,318,38,483,88,375,21.9,33.3,2.6,6.1,88,1458
"121906","EVADALE ISD",384,50,6,151,11,93,13,39.3,1.6,2.9,87.7,384
"122901","FT DAVIS ISD",263,23,19,63,12,53,8.7,24,7.2,4.6,86.9,263
"122902","VALENTINE ISD",24,1,1,10,0,5,4.2,41.7,4.2,0,83.3,24
"123803","TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL",429,15,0,60,0,27,3.5,14,0,0,46.6,429
"123805","EHRHART SCHOOL",520,49,277,0,43,0,9.4,0,53.3,8.3,0,520
"123807","BOB HOPE SCHOOL",2509,146,1205,502,0,501,5.8,20,48,0,90.9,2509
"123905","NEDERLAND ISD",5252,735,744,1236,338,1225,14,23.5,14.2,6.4,82.6,5279
"123907","PORT ARTHUR ISD",8001,991,2577,1582,358,1269,12.4,19.8,32.2,4.5,60,8155
"123908","PORT NECHES-GROVES ISD",5343,671,577,1826,321,1436,12.6,34.2,10.8,6,85.3,5364
"123910","BEAUMONT ISD",16775,1899,2637,3779,1134,3542,11.3,22.5,15.7,6.8,72.9,16803
"123913","SABINE PASS ISD",358,11,4,181,14,124,3.1,50.6,1.1,3.9,91.2,358
"123914","HAMSHIRE-FANNETT ISD",2040,280,140,613,146,568,13.7,30,6.9,7.2,91.6,2048
"124901","JIM HOGG COUNTY ISD",993,136,51,270,101,247,13.7,27.2,5.1,10.2,74.8,1000
"125901","ALICE ISD",4471,726,114,1811,135,1086,16.2,40.5,2.5,3,79.7,4486
"125902","BEN BOLT-PALITO BLANCO ISD",452,75,12,122,21,121,16.6,27,2.7,4.6,89,455
"125903","ORANGE GROVE ISD",1700,229,51,679,78,438,13.5,39.9,3,4.6,84.9,1707
"125905","PREMONT ISD",782,190,60,193,45,145,24.3,24.7,7.7,5.8,74,782
"125906","LA GLORIA ISD",114,17,0,0,0,0,14.9,0,0,0,0,114
"126901","ALVARADO ISD",3773,457,984,868,252,867,12.1,23,26.1,6.7,72.3,3782
"126902","BURLESON ISD",12634,1817,1010,4012,967,3273,14.4,31.8,8,7.7,77.9,12718
"126903","CLEBURNE ISD",7054,952,1749,1652,521,1647,13.5,23.4,24.8,7.4,83.1,7082
"126904","GRANDVIEW ISD",1422,213,95,508,97,401,15,35.7,6.7,6.8,91.3,1428
"126905","JOSHUA ISD",6004,860,869,1549,164,1544,14.3,25.8,14.5,2.7,85.7,6020
"126906","KEENE ISD",1087,154,239,322,65,317,14.2,29.6,22,6,86.8,1097
"126907","RIO VISTA ISD",964,126,48,359,83,220,13.1,37.2,5,8.6,85.3,967
"126908","VENUS ISD",2306,264,707,692,129,568,11.4,30,30.7,5.6,79.8,2308
"126911","GODLEY ISD",2988,468,373,822,237,752,15.7,27.5,12.5,7.9,90.9,3002
"127901","ANSON ISD",733,132,16,238,58,144,18,32.5,2.2,7.9,68.9,733
"127903","HAMLIN COLLEGIATE ISD",380,63,22,128,5,85,16.6,33.7,5.8,1.3,69.1,399
"127904","HAWLEY ISD",832,169,6,260,76,195,20.3,31.3,0.7,9.1,88.6,834
"127905","LUEDERS-AVOCA ISD",104,27,0,45,3,26,26,43.3,0,2.9,96.3,104
"127906","STAMFORD ISD",583,104,28,200,12,154,17.8,34.3,4.8,2.1,84.2,583
"128901","KARNES CITY ISD",1027,161,72,329,76,276,15.7,32,7,7.4,87.6,1031
"128902","KENEDY ISD",767,127,47,254,32,221,16.6,33.1,6.1,4.2,92.1,770
"128903","RUNGE ISD",194,31,2,32,8,32,16,16.5,1,4.1,62.7,196
"128904","FALLS CITY ISD",436,48,8,138,32,107,11,31.7,1.8,7.3,87,436
"129901","CRANDALL ISD",6413,969,1169,1911,496,1588,15.1,29.8,18.2,7.7,87.3,6443
"129902","FORNEY ISD",16962,2469,2448,6570,1325,4246,14.6,38.7,14.4,7.8,84,17002
"129903","KAUFMAN ISD",4354,629,1200,1125,309,1116,14.4,25.8,27.6,7.1,83.2,4378
"129904","KEMP ISD",1963,349,384,518,89,506,17.8,26.4,19.6,4.5,89.2,1967
"129905","MABANK ISD",4061,642,337,1313,250,1004,15.8,32.3,8.3,6.2,87.5,4066
"129906","TERRELL ISD",5249,676,1387,1552,347,1195,12.9,29.6,26.4,6.6,78.6,5255
"129910","SCURRY-ROSSER ISD",1045,161,113,381,121,300,15.4,36.5,10.8,11.6,84,1046
"130801","MEADOWLAND CHARTER DISTRICT",53,29,1,20,0,14,54.7,37.7,1.9,0,70,53
"130901","BOERNE ISD",10849,1714,944,3341,1069,2986,15.8,30.8,8.7,9.9,85.9,10910
"130902","COMFORT ISD",1090,193,158,340,73,340,17.7,31.2,14.5,6.7,93.2,1090
"131001","KENEDY COUNTY WIDE CSD",130,14,4,0,15,0,10.8,0,3.1,11.5,0,130
"132902","JAYTON-GIRARD ISD",177,23,0,56,13,44,13,31.6,0,7.3,83,177
"133901","CENTER POINT ISD",534,120,137,226,31,140,22.5,42.3,25.7,5.8,90.9,534
"133902","HUNT ISD",199,20,19,0,19,0,10.1,0,9.5,9.5,0,200
"133903","KERRVILLE ISD",4686,658,453,1017,453,911,14,21.7,9.7,9.7,63.6,4689
"133904","INGRAM ISD",1299,208,227,400,116,333,16,30.8,17.5,8.9,78.7,1300
"133905","DIVIDE ISD",35,8,0,0,0,0,22.9,0,0,0,0,35
"134901","JUNCTION ISD",585,91,28,134,59,106,15.6,22.9,4.8,10.1,60.9,589
"135001","GUTHRIE CSD",93,9,1,27,1,24,9.7,29,1.1,1.1,96,98
"136901","BRACKETT ISD",527,92,18,77,45,36,17.5,14.6,3.4,8.5,21.4,532
"137901","KINGSVILLE ISD",2599,533,92,749,88,748,20.5,28.8,3.5,3.4,80.3,2603
"137902","RICARDO ISD",657,89,19,3,34,0,13.5,0.5,2.9,5.2,0,657
"137903","RIVIERA ISD",476,45,16,222,8,180,9.5,46.6,3.4,1.7,93.3,477
"137904","SANTA GERTRUDIS ISD",809,68,11,359,136,359,8.4,44.4,1.4,16.8,93.7,809
"138902","KNOX CITY-O'BRIEN CISD",200,47,12,91,0,66,23.5,45.5,6,0,97.1,200
"138903","MUNDAY CISD",396,70,22,133,16,93,17.7,33.6,5.6,4,89.4,411
"138904","BENJAMIN ISD",104,13,2,44,7,39,12.5,42.3,1.9,6.7,86.7,104
"139905","CHISUM ISD",1194,167,59,263,74,246,14,22,4.9,6.2,78.8,1195
"139909","PARIS ISD",3867,552,490,959,449,811,14.3,24.8,12.7,11.6,80.7,3868
"139911","NORTH LAMAR ISD",2372,403,111,769,212,589,17,32.4,4.7,8.9,87.8,2372
"139912","PRAIRILAND ISD",1119,131,42,236,59,231,11.7,21.1,3.8,5.3,82.2,1119
"140901","AMHERST ISD",113,18,57,51,2,29,15.9,45.1,50.4,1.8,96.7,114
"140904","LITTLEFIELD ISD",1197,185,115,417,80,317,15.5,34.8,9.6,6.7,87.1,1198
"140905","OLTON ISD",619,87,118,179,46,178,14.1,28.9,19.1,7.4,88.6,619
"140907","SPRINGLAKE-EARTH ISD",264,42,63,115,17,97,15.9,43.6,23.9,6.4,94.2,265
"140908","SUDAN ISD",466,72,42,157,27,122,15.5,33.7,9,5.8,87.8,466
"141901","LAMPASAS ISD",3544,690,167,1165,185,945,19.5,32.9,4.7,5.2,85.9,3560
"141902","LOMETA ISD",319,56,44,106,8,84,17.6,33.2,13.8,2.5,90.3,320
"142901","COTULLA ISD",1142,207,75,327,68,302,18.1,28.6,6.6,6,85.6,1143
"143901","HALLETTSVILLE ISD",1146,162,50,466,69,388,14.1,40.7,4.4,6,91.5,1168
"143902","MOULTON ISD",292,59,37,95,10,72,20.2,32.5,12.7,3.4,75.8,293
"143903","SHINER ISD",703,86,16,164,21,102,12.2,23.3,2.3,3,57,717
"143904","VYSEHRAD ISD",88,11,0,5,7,0,12.5,5.7,0,8,0,88
"143905","SWEET HOME ISD",148,17,1,0,10,0,11.5,0,0.7,6.8,0,148
"143906","EZZELL ISD",129,14,0,37,0,28,10.9,28.7,0,0,90.3,130
"144901","GIDDINGS ISD",1869,238,253,465,133,464,12.7,24.9,13.5,7.1,74.1,1893
"144902","LEXINGTON ISD",1066,190,63,399,48,318,17.8,37.4,5.9,4.5,89.8,1066
"144903","DIME BOX ISD",150,34,27,39,10,39,22.7,26,18,6.7,95.1,150
"145901","BUFFALO ISD",1027,133,199,352,51,265,13,34.3,19.4,5,86.9,1027
"145902","CENTERVILLE ISD",668,92,22,220,21,179,13.8,32.9,3.3,3.1,90.9,668
"145906","NORMANGEE ISD",648,100,31,212,27,161,15.4,32.7,4.8,4.2,87,649
"145907","OAKWOOD ISD",221,29,8,80,5,49,13.1,36.2,3.6,2.3,89.1,221
"145911","LEON ISD",749,77,117,307,24,204,10.3,41,15.6,3.2,93.6,751
"146901","CLEVELAND ISD",11945,1386,7416,3714,496,3104,11.6,31.1,62.1,4.2,83.2,11970
"146902","DAYTON ISD",5777,966,1177,1754,369,1466,16.7,30.4,20.4,6.4,88.5,5787
"146903","DEVERS ISD",185,29,15,0,0,0,15.7,0,8.1,0,0,185
"146904","HARDIN ISD",1236,165,56,510,57,335,13.3,41.3,4.5,4.6,84.6,1239
"146905","HULL-DAISETTA ISD",415,89,10,68,22,11,21.4,16.4,2.4,5.3,10.9,416
"146906","LIBERTY ISD",2417,401,422,733,171,637,16.6,30.3,17.5,7.1,86.7,2424
"146907","TARKINGTON ISD",1924,323,113,684,109,484,16.8,35.6,5.9,5.7,87.7,1928
"147901","COOLIDGE ISD",295,54,39,115,10,75,18.3,39,13.2,3.4,96.2,295
"147902","GROESBECK ISD",1541,252,91,197,124,78,16.4,12.8,5.9,8,15.6,1543
"147903","MEXIA ISD",1831,335,368,728,58,481,18.3,39.8,20.1,3.2,92.1,1832
"148901","BOOKER ISD",332,40,107,133,11,88,12,40.1,32.2,3.3,93.6,332
"148902","FOLLETT ISD",172,36,18,54,8,36,20.9,31.4,10.5,4.7,67.9,173
"148905","DARROUZETT ISD",104,23,22,35,6,23,22.1,33.7,21.2,5.8,92,104
"149901","GEORGE WEST ISD",1056,126,59,219,86,219,11.9,20.7,5.6,8.1,84.2,1059
"149902","THREE RIVERS ISD",588,79,28,172,37,142,13.4,29.3,4.8,6.3,72.4,590
"150901","LLANO ISD",1935,283,273,494,104,440,14.6,25.5,14.1,5.4,82.2,1942
"152504","TEXAS TECH UNIVERSITY K-12",724,31,0,194,16,185,4.3,26.8,0,2.2,46.5,724
"152802","RISE ACADEMY",301,36,0,0,0,0,12,0,0,0,0,301
"152803","TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK",171,23,8,52,0,52,13.5,30.4,4.7,0,30.4,171
"152806","BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION",174,92,0,0,0,0,52.9,0,0,0,0,174
"152901","LUBBOCK ISD",24209,4224,1771,5352,2151,5337,17.4,22.1,7.3,8.9,74.9,24329
"152902","NEW DEAL ISD",765,97,30,210,37,209,12.7,27.5,3.9,4.8,88.2,765
"152903","SLATON ISD",1242,242,70,367,74,336,19.5,29.5,5.6,6,94.6,1247
"152906","LUBBOCK-COOPER ISD",7836,1083,423,3097,433,1926,13.8,39.5,5.4,5.5,83.6,7855
"152907","FRENSHIP ISD",11555,1696,655,2820,1003,2777,14.7,24.4,5.7,8.7,82.1,11581
"152908","ROOSEVELT ISD",1118,194,84,331,54,329,17.4,29.6,7.5,4.8,94.8,1122
