DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'019906",16,12.7,126,151,14.3,1059,5,0.5,106,754,14.1,9,0.8,31,2.9,12,1,133,12.6,544,51.4,505,47.7,0,0,96,9.1,41,3.9,12,1.1,0,0,4,0.4,9,0.8,554,52.3,0,0,116,11,515,48.6,5,0.5,379,35.8,112,10.6,1059,100,39,3.7,934,88.2,9,0.8,96,9.1,112,10.6
"'019907",201,21.1,953,991,13.8,7179,86,1.2,1180,5473,21.6,683,9.5,3240,45.1,100,1.3,450,6.3,5385,75,3576,49.8,0,0,364,5.1,1228,17.1,40,0.6,46,0.6,21,0.3,673,9.4,3603,50.2,0,0,189,2.6,1794,25,4,0.1,3628,50.5,924,12.9,4479,62.4,459,6.4,2141,29.8,683,9.5,364,5.1,925,12.9
"'019908",55,15.9,346,160,8,2003,0,0,312,1565,19.9,52,2.6,1148,57.3,167,7,111,5.5,1746,87.2,988,49.3,0,0,82,4.1,138,6.9,4,0.2,0,0,12,0.6,55,2.7,1015,50.7,0,0,7,0.3,257,12.8,2,0.1,1303,65.1,329,16.4,1471,73.4,163,8.1,540,27,52,2.6,82,4.1,329,16.4
"'019909",17,26.6,64,75,15.5,484,3,0.6,47,367,12.8,7,1.4,1,0.2,0,0,36,7.4,238,49.2,210,43.4,0,0,27,5.6,18,3.7,5,1,0,0,0,0,8,1.7,274,56.6,0,0,1,0.2,246,50.8,0,0,177,36.6,49,10.1,483,99.8,18,3.7,444,91.7,7,1.4,27,5.6,49,10.1
"'019910",2,8.7,23,9,4.1,220,0,0,39,202,19.3,0,0,6,2.7,0,0,19,8.6,103,46.8,107,48.6,0,0,24,10.9,13,5.9,0,0,0,0,3,1.4,0,0,113,51.4,0,0,0,0,117,53.2,0,0,50,22.7,28,12.7,220,100,8,3.6,190,86.4,0,0,24,10.9,28,12.7
"'019911",4,11.8,34,97,18.5,525,4,0.8,46,392,11.7,4,0.8,9,1.7,6,1.1,60,11.4,52,9.9,264,50.3,0,0,58,11,25,4.8,0,0,0,0,2,0.4,4,0.8,261,49.7,0,0,2,0.4,473,90.1,0,0,83,15.8,33,6.3,198,37.7,19,3.6,466,88.8,4,0.8,58,11,35,6.6
"'019912",28,11.7,239,352,15.3,2302,63,2.7,215,1651,13,88,3.8,326,14.2,14,0.6,177,7.7,856,37.2,1132,49.2,0,0,238,10.3,176,7.6,6,0.3,0,0,7,0.3,89,3.9,1170,50.8,0,0,117,5.1,1446,62.8,3,0.1,658,28.6,244,10.6,1005,43.7,139,6,1588,69,88,3.8,238,10.3,251,10.9
"'019913",0,0,12,0,0,77,0,0,12,63,19,11,14.3,0,0,0,0,0,0,49,63.6,36,46.8,0,0,3,3.9,13,16.9,0,0,0,0,0,0,11,14.3,41,53.2,0,0,1,1.3,28,36.4,0,0,17,22.1,11,14.3,77,100,4,5.2,60,77.9,11,14.3,3,3.9,11,14.3
"'019914",4,25,16,4,4.3,93,0,0,34,99,34.3,0,0,2,2.2,0,0,3,3.2,91,97.8,55,59.1,0,0,2,2.2,10,10.8,0,0,0,0,0,0,0,0,38,40.9,0,0,0,0,2,2.2,0,0,36,38.7,10,10.8,93,100,4,4.3,77,82.8,0,0,2,2.2,10,10.8
"'020901",594,15.7,3777,1953,6.7,29100,2768,9.5,3531,21797,16.2,5183,17.8,7403,25.4,487,1.6,1429,4.9,15636,53.7,14173,48.7,112,0.4,2037,7,11785,40.5,275,0.9,194,0.7,65,0.2,5163,17.7,14927,51.3,2,0,369,1.3,13464,46.3,26,0.1,14049,48.3,3895,13.4,13989,48.1,954,3.3,6099,21,5186,17.8,2038,7,3978,13.6
