DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'063903",9,19.6,46,37,16.5,224,0,0,27,191,14.1,3,1.3,1,0.4,2,0.8,9,4,130,58,110,49.1,0,0,15,6.7,94,42,6,2.7,0,0,0,0,3,1.3,114,50.9,0,0,0,0,94,42,0,0,66,29.5,46,20.5,223,99.6,13,5.8,116,51.8,3,1.3,15,6.7,47,20.9
"'063906",4,22.2,18,4,5.2,77,0,0,21,79,26.6,3,3.9,1,1.3,0,0,5,6.5,58,75.3,35,45.5,0,0,10,13,33,42.9,2,2.6,0,0,0,0,3,3.9,42,54.5,0,0,7,9.1,19,24.7,0,0,17,22.1,13,16.9,77,100,0,0,43,55.8,3,3.9,10,13,13,16.9
"'064903",28,14.5,193,205,10.8,1898,15,0.8,159,1352,11.8,85,4.5,8,0.4,107,5.2,114,6,1463,77.1,934,49.2,11,0.6,131,6.9,1806,95.2,62,3.3,0,0,1,0.1,102,5.4,964,50.8,38,2,3,0.2,435,22.9,0,0,1224,64.5,194,10.2,1898,100,4,0.2,64,3.4,85,4.5,131,6.9,199,10.5
"'065901",7,11.9,59,38,8.8,433,0,0,50,369,13.6,1,0.2,33,7.6,1,0.2,28,6.5,223,51.5,204,47.1,4,0.9,46,10.6,59,13.6,7,1.6,0,0,1,0.2,1,0.2,229,52.9,5,1.2,0,0,210,48.5,0,0,152,35.1,67,15.5,433,100,25,5.8,315,72.7,1,0.2,46,10.6,68,15.7
"'065902",4,11.1,36,11,9.4,117,0,0,33,121,27.3,3,2.6,0,0,0,0,12,10.3,100,85.5,54,46.2,0,0,1,0.9,32,27.4,0,0,2,1.7,0,0,3,2.6,63,53.8,0,0,3,2.6,17,14.5,0,0,29,24.8,36,30.8,117,100,6,5.1,79,67.5,3,2.6,1,0.9,36,30.8
"'066005",1,25,4,0,0,21,0,0,3,19,15.8,2,9.5,0,0,0,0,0,0,19,90.5,10,47.6,0,0,0,0,21,100,0,0,0,0,0,0,2,9.5,11,52.4,0,0,0,0,2,9.5,0,0,21,100,2,9.5,21,100,0,0,0,0,2,9.5,0,0,2,9.5
"'066901",3,9.7,31,5,1.5,342,1,0.3,47,186,25.3,160,46.8,4,1.2,2,0.8,4,1.2,250,73.1,159,46.5,1,0.3,8,2.3,304,88.9,0,0,0,0,0,0,63,18.4,183,53.5,4,1.2,17,5,92,26.9,1,0.3,104,30.4,26,7.6,342,100,3,0.9,29,8.5,171,48.4,8,2.3,26,7.4
"'066902",26,12.2,213,113,7.6,1495,3,0.2,87,1126,7.7,12,0.8,0,0,32,2,62,4.1,1349,90.2,731,48.9,2,0.1,72,4.8,1468,98.2,7,0.5,0,0,0,0,14,0.9,764,51.1,1,0.1,54,3.6,146,9.8,0,0,828,55.4,210,14,1495,100,1,0.1,23,1.5,12,0.8,72,4.8,210,14
"'066903",11,10.3,107,56,7.6,733,2,0.3,59,606,9.7,22,3,2,0.3,17,2.1,46,6.3,593,80.9,361,49.2,1,0.1,57,7.8,687,93.7,0,0,0,0,1,0.1,24,3.3,372,50.8,1,0.1,10,1.4,140,19.1,0,0,479,65.3,105,14.3,733,100,2,0.3,39,5.3,22,3,57,7.8,105,14.3
"'067902",26,21.1,123,91,11,828,7,0.8,94,659,14.3,15,1.8,6,0.7,23,2.6,88,10.6,451,54.5,405,48.9,1,0.1,55,6.6,139,16.8,56,6.8,0,0,4,0.5,15,1.8,423,51.1,0,0,35,4.2,377,45.5,0,0,266,32.1,130,15.7,592,71.5,11,1.3,661,79.8,15,1.8,55,6.6,131,15.8
"'067903",22,16.4,134,82,7.8,1053,13,1.2,122,852,14.3,73,6.9,6,0.6,5,0.4,63,6,644,61.2,521,49.5,0,0,83,7.9,301,28.6,29,2.8,0,0,0,0,78,7.4,532,50.5,0,0,2,0.2,409,38.8,2,0.2,373,35.4,133,12.6,744,70.7,17,1.6,714,67.8,73,6.9,83,7.9,137,13
"'067904",7,17.1,41,34,13.4,253,1,0.4,33,217,15.2,18,7.1,1,0.4,0,0,40,15.8,183,72.3,126,49.8,0,0,8,3.2,102,40.3,35,13.8,1,0.4,0,0,19,7.5,127,50.2,0,0,0,0,70,27.7,4,1.6,134,53,42,16.6,134,53,6,2.4,139,54.9,18,7.1,8,3.2,42,16.6
"'067907",17,21.8,78,45,14.1,319,0,0,51,263,19.4,10,3.1,4,1.3,2,0.5,52,16.3,250,78.4,147,46.1,0,0,15,4.7,79,24.8,2,0.6,0,0,1,0.3,10,3.1,172,53.9,0,0,0,0,69,21.6,0,0,183,57.4,64,20.1,153,48,5,1.6,230,72.1,10,3.1,15,4.6,68,21.1
"'067908",6,18.2,33,8,4.4,183,1,0.5,31,157,19.7,7,3.8,2,1.1,0,0,16,8.7,123,67.2,102,55.7,1,0.5,3,1.6,36,19.7,1,0.5,0,0,0,0,7,3.8,81,44.3,0,0,1,0.5,60,32.8,0,0,67,36.6,36,19.7,95,51.9,3,1.6,141,77,7,3.8,3,1.6,36,19.7
"'068802",3,2,147,100,7.2,1398,6,0.4,110,1313,8.4,3,0.2,22,1.6,0,0,89,6.4,92,6.6,699,50,0,0,6,0.4,486,34.8,0,0,0,0,4,0.3,3,0.2,699,50,0,0,2,0.1,1306,93.4,2,0.1,18,1.3,142,10.2,27,1.9,15,1.1,863,61.7,3,0.2,6,0.4,142,10.2
"'068901",672,19,3535,284,0.9,33268,289,0.9,4671,24572,19,7860,23.6,1187,3.6,756,2.2,1259,3.8,22093,66.4,16283,48.9,71,0.2,3014,9.1,26413,79.4,1313,3.9,746,2.2,69,0.2,7914,23.8,16985,51.1,1,0,277,0.8,11175,33.6,102,0.3,20205,60.7,3444,10.4,23075,69.4,477,1.4,4731,14.2,7865,23.6,3016,9,3462,10.4
"'069901",3,10,30,21,8.9,237,0,0,36,240,15,18,7.6,0,0,1,0.4,20,8.4,161,67.9,109,46,0,0,8,3.4,192,81,0,0,0,0,0,0,19,8,128,54,0,0,1,0.4,76,32.1,0,0,152,64.1,29,12.2,237,100,0,0,45,19,18,7.6,8,3.4,29,12.2
"'069902",5,12.5,40,9,3.6,248,0,0,27,227,11.9,4,1.6,3,1.2,0,0,20,8.1,153,61.7,117,47.2,0,0,24,9.7,98,39.5,0,0,0,0,1,0.4,4,1.6,131,52.8,0,0,0,0,95,38.3,0,0,21,8.5,38,15.3,248,100,4,1.6,142,57.3,4,1.6,24,9.7,38,15.3
"'070801",57,18.6,306,48,1.7,2763,10,0.4,497,2435,20.4,1708,61.8,660,23.9,0,0,68,2.5,2079,75.2,1374,49.7,6,0.2,97,3.5,1956,70.8,0,0,79,2.9,4,0.1,1596,57.8,1389,50.3,3,0.1,0,0,684,24.8,0,0,1938,70.1,276,10,2763,100,31,1.1,102,3.7,1710,61.8,97,3.5,277,10
"'070901",4,8.2,49,10,3,336,1,0.3,38,320,11.9,15,4.5,5,1.5,6,1.6,32,9.5,179,53.3,171,50.9,0,0,13,3.9,127,37.8,0,0,0,0,0,0,15,4.5,165,49.1,0,0,0,0,157,46.7,0,0,105,31.3,63,18.8,332,98.8,10,3,193,57.4,15,4.5,13,3.9,63,18.7
"'070903",113,15.5,727,625,10.1,6172,23,0.4,442,3516,12.6,1104,17.9,808,13.1,169,2.6,485,7.9,4430,71.8,2984,48.3,1,0,496,8,3465,56.1,101,1.6,46,0.7,12,0.2,1093,17.7,3188,51.7,0,0,5,0.1,1742,28.2,33,0.5,2876,46.6,795,12.9,6065,98.3,118,1.9,1713,27.8,1104,17.8,496,8,807,13
"'070905",44,11.3,390,130,4.8,2715,10,0.4,183,1850,9.9,939,34.6,206,7.6,58,2.1,122,4.5,2193,80.8,1343,49.5,5,0.2,147,5.4,2001,73.7,38,1.4,9,0.3,5,0.2,984,36.2,1372,50.5,0,0,38,1.4,522,19.2,4,0.1,1692,62.3,396,14.6,2712,99.9,41,1.5,448,16.5,939,34.6,147,5.4,397,14.6
"'070907",6,5.6,107,59,9.3,634,1,0.2,65,538,12.1,65,10.3,79,12.5,17,2.5,59,9.3,417,65.8,310,48.9,4,0.6,12,1.9,202,31.9,1,0.2,0,0,2,0.3,65,10.3,324,51.1,0,0,0,0,217,34.2,2,0.3,280,44.2,115,18.1,633,99.8,19,3,329,51.9,65,10.3,12,1.9,115,18.1
"'070908",163,10.8,1514,1206,11,10957,111,1,1547,8077,19.2,518,4.7,1386,12.6,115,1,839,7.7,3267,29.8,5289,48.3,30,0.3,613,5.6,2614,23.9,84,0.8,68,0.6,37,0.3,526,4.8,5668,51.7,0,0,434,4,7690,70.2,6,0.1,4549,41.5,1548,14.1,1994,18.2,554,5.1,6249,57,518,4.7,613,5.6,1576,14.3
"'070909",4,12.1,33,22,8.9,247,0,0,35,223,15.7,47,19,54,21.9,2,0.8,17,6.9,187,75.7,105,42.5,0,0,16,6.5,109,44.1,0,0,0,0,0,0,49,19.8,142,57.5,2,0.8,6,2.4,60,24.3,0,0,164,66.4,37,15,247,100,12,4.9,72,29.1,47,19,16,6.5,37,15
"'070910",28,10.6,263,114,8.8,1302,6,0.5,105,977,10.7,184,14.1,24,1.8,32,2.3,104,8,690,53,672,51.6,6,0.5,62,4.8,599,46,2,0.2,0,0,2,0.2,204,15.7,630,48.4,0,0,14,1.1,612,47,0,0,634,48.7,270,20.7,932,71.6,30,2.3,641,49.2,184,14.1,62,4.8,272,20.9
"'070911",147,16.2,905,535,8.2,6485,62,1,685,4784,14.3,813,12.5,2189,33.8,247,3.6,503,7.8,3947,60.9,3093,47.7,50,0.8,418,6.4,2611,40.3,52,0.8,33,0.5,17,0.3,911,14,3392,52.3,0,0,33,0.5,2538,39.1,2,0,3431,52.9,892,13.8,2773,42.8,238,3.7,1366,21.1,813,12.5,418,6.4,903,13.9
"'070912",304,16.5,1847,1170,10.9,10778,74,0.7,1283,7806,16.4,1025,9.5,1902,17.6,273,2.5,1031,9.6,5367,49.8,5218,48.4,53,0.5,884,8.2,3783,35.1,83,0.8,35,0.3,62,0.6,1028,9.5,5560,51.6,0,0,926,8.6,5411,50.2,18,0.2,5150,47.8,1772,16.4,8049,74.7,393,3.6,4546,42.2,1026,9.5,884,8.2,1815,16.7
"'070915",18,11.7,154,134,11.1,1209,5,0.4,91,846,10.8,89,7.4,26,2.2,26,2.1,136,11.2,501,41.4,536,44.3,3,0.2,71,5.9,293,24.2,28,2.3,3,0.2,1,0.1,91,7.5,673,55.7,0,0,32,2.6,708,58.6,1,0.1,427,35.3,161,13.3,846,70,35,2.9,848,70.1,89,7.3,71,5.9,164,13.5
"'071801",2,3.8,52,17,1.3,1358,3,0.2,336,1241,27.1,803,59.1,11,0.8,0,0,15,1.1,902,66.4,665,49,0,0,0,0,1242,91.5,0,0,32,2.4,1,0.1,691,50.9,693,51,7,0.5,47,3.5,456,33.6,1,0.1,981,72.2,48,3.5,1356,99.9,15,1.1,85,6.3,804,59.2,0,0,48,3.5
"'071803",12,50,24,3,1.6,187,0,0,76,136,55.9,61,32.6,2,1.1,0,0,2,1.1,164,87.7,102,54.5,0,0,0,0,182,97.3,0,0,0,0,0,0,65,34.8,85,45.5,2,1.1,2,1.1,23,12.3,1,0.5,187,100,15,8,186,99.5,0,0,2,1.1,61,32.4,0,0,15,8
"'071804",41,75.9,54,28,7.3,384,1,0.3,166,235,70.6,56,14.6,5,1.3,0,0,6,1.6,248,64.6,172,44.8,0,0,0,0,362,94.3,9,2.3,2,0.5,1,0.3,72,18.8,212,55.2,0,0,1,0.3,136,35.4,0,0,384,100,32,8.3,384,100,4,1,11,2.9,56,14.6,0,0,32,8.3
"'071806",76,17.8,426,227,4.6,4967,57,1.1,899,4203,21.4,1398,28.1,274,5.5,0,0,118,2.4,3695,74.4,2404,48.4,3,0.1,456,9.2,4083,82.2,6,0.1,2,0,10,0.2,1473,29.7,2563,51.6,0,0,27,0.5,1272,25.6,8,0.2,1803,36.3,441,8.9,4967,100,82,1.7,453,9.1,1398,28.1,456,9.2,441,8.9
"'071807",2,16.7,12,5,2.7,184,0,0,28,168,16.7,175,95.1,0,0,0,0,0,0,184,100,96,52.2,0,0,0,0,183,99.5,0,0,0,0,0,0,164,89.1,88,47.8,2,1.1,1,0.5,0,0,0,0,165,89.7,13,7.1,184,100,0,0,1,0.5,175,95.1,0,0,13,7.1
"'071809",1,5.3,19,11,3.3,332,3,0.9,97,340,28.5,121,36.4,14,4.2,0,0,6,1.8,195,58.7,157,47.3,1,0.3,0,0,291,87.7,0,0,0,0,0,0,127,38.3,175,52.7,0,0,30,9,137,41.3,0,0,177,53.3,21,6.3,332,100,6,1.8,18,5.4,121,36.4,0,0,21,6.3
"'071810",2,6.7,30,25,4.2,594,0,0,53,182,29.1,271,45.6,6,1,0,0,8,1.3,540,90.9,249,41.9,0,0,7,1.2,571,96.1,19,3.2,18,3,0,0,280,47.1,345,58.1,1,0.2,9,1.5,54,9.1,0,0,351,59.1,48,8.1,594,100,3,0.5,14,2.4,271,45.6,7,1.2,48,8.1
"'071901",172,12.5,1372,296,2.9,10341,8,0.1,1167,8114,14.4,3768,36.4,37,0.4,89,0.8,107,1,8783,84.9,5063,49,4,0,411,4,9838,95.1,216,2.1,149,1.4,30,0.3,4357,42.1,5278,51,52,0.5,493,4.8,1558,15.1,6,0.1,6831,66.1,1335,12.9,10340,100,51,0.5,371,3.6,3774,36.4,411,4,1340,12.9
"'071902",1315,20.6,6379,3267,6.5,49949,643,1.3,8420,37840,22.3,21605,43.3,1673,3.3,1377,2.5,2161,4.3,37906,75.9,24489,49,38,0.1,6102,12.2,41990,84.1,456,0.9,408,0.8,89,0.2,18123,36.3,25460,51,177,0.4,4939,9.9,12043,24.1,187,0.4,32085,64.2,5876,11.8,43461,87,1013,2,4354,8.7,21623,43.2,6105,12.2,5915,11.8
"'071903",29,10.5,277,147,7.6,1926,0,0,163,1409,11.6,876,45.5,0,0,55,2.6,57,3,1779,92.4,935,48.5,0,0,76,3.9,1917,99.5,70,3.6,24,1.2,0,0,1020,53,991,51.5,99,5.1,47,2.4,147,7.6,0,0,1538,79.9,290,15.1,1926,100,0,0,9,0.5,876,45.4,76,3.9,293,15.2
"'071904",57,12.5,455,159,5,3173,0,0,284,2168,13.1,1700,53.6,4,0.1,108,3.1,69,2.2,2895,91.2,1532,48.3,0,0,188,5.9,3147,99.2,44,1.4,50,1.6,1,0,1959,61.7,1641,51.7,27,0.9,72,2.3,278,8.8,0,0,2533,79.8,463,14.6,3173,100,2,0.1,19,0.6,1703,53.6,188,5.9,464,14.6
"'071905",926,16.2,5721,2580,7.1,36121,94,0.3,4466,26596,16.8,11208,31,410,1.1,706,1.8,1108,3.1,28292,78.3,17711,49,78,0.2,2400,6.6,34352,95.1,275,0.8,304,0.8,42,0.1,11700,32.4,18410,51,76,0.2,2028,5.6,7829,21.7,40,0.1,21683,60,5461,15.1,36013,99.7,80,0.2,1103,3.1,11217,31,2400,6.6,5478,15.1
"'071906",10,9.3,107,32,4.1,780,1,0.1,78,616,12.7,194,24.9,5,0.6,7,0.8,29,3.7,614,78.7,363,46.5,0,0,91,11.7,753,96.5,19,2.4,7,0.9,0,0,237,30.4,417,53.5,42,5.4,9,1.2,166,21.3,0,0,450,57.7,105,13.5,780,100,3,0.4,18,2.3,194,24.8,91,11.7,106,13.6
"'071907",65,10.1,642,399,6.6,6054,32,0.5,640,4704,13.6,2206,36.4,61,1,109,1.7,129,2.1,4025,66.5,2896,47.8,3,0,642,10.6,5625,92.9,147,2.4,46,0.8,6,0.1,2026,33.5,3158,52.2,91,1.5,780,12.9,2029,33.5,3,0,4059,67,633,10.5,5488,90.7,61,1,266,4.4,2206,36.3,642,10.6,645,10.6
"'071908",7,8.5,82,25,3,829,0,0,77,631,12.2,382,46.1,0,0,47,5,13,1.6,777,93.7,408,49.2,0,0,63,7.6,822,99.2,23,2.8,8,1,1,0.1,528,63.7,421,50.8,16,1.9,0,0,52,6.3,0,0,626,75.5,88,10.6,829,100,1,0.1,5,0.6,382,46.1,63,7.6,88,10.6
"'071909",967,15.8,6121,2164,4.5,47741,228,0.5,6527,36853,17.7,13829,29,963,2,713,1.4,584,1.2,35518,74.4,23360,48.9,64,0.1,3024,6.3,43720,91.6,304,0.6,428,0.9,62,0.1,13864,29,24381,51.1,55,0.1,6500,13.6,12223,25.6,84,0.2,25870,54.2,6028,12.6,47741,100,442,0.9,2242,4.7,13843,28.9,3027,6.3,6076,12.7
"'072801",963,63.4,1518,948,13.3,7111,60,0.8,3237,5489,59,708,10,919,12.9,0,0,330,4.6,4028,56.6,3921,55.1,18,0.3,0,0,3947,55.5,34,0.5,20,0.3,20,0.3,776,10.9,3190,44.9,0,0,57,0.8,3083,43.4,9,0.1,7066,99.4,924,13,4427,62.3,198,2.8,1958,27.5,708,9.9,0,0,924,13
"'072802",47,95.9,49,17,16.5,103,0,0,52,71,73.2,3,2.9,5,4.9,0,0,6,5.8,94,91.3,55,53.4,3,2.9,0,0,64,62.1,0,0,0,0,2,1.9,3,2.9,48,46.6,0,0,2,1.9,9,8.7,0,0,97,94.2,6,5.8,103,100,1,1,31,30.1,3,2.9,0,0,6,5.8
"'072901",0,0,15,13,5.6,233,1,0.4,37,224,16.5,31,13.3,1,0.4,0,0,7,3,169,72.5,133,57.1,0,0,4,1.7,99,42.5,2,0.9,0,0,1,0.4,30,12.9,100,42.9,10,4.3,20,8.6,64,27.5,0,0,101,43.3,18,7.7,233,100,8,3.4,123,52.8,31,13.3,4,1.7,18,7.7
"'072902",15,16,94,73,6.4,1145,3,0.3,94,861,10.9,250,21.8,10,0.9,31,2.6,56,4.9,877,76.6,568,49.6,2,0.2,69,6,703,61.4,0,0,0,0,2,0.2,251,21.9,577,50.4,12,1,8,0.7,268,23.4,0,0,431,37.6,100,8.7,1145,100,10,0.9,417,36.4,250,21.8,69,6,101,8.8
"'072903",69,13.2,522,275,7.4,3717,48,1.3,216,2139,10.1,514,13.8,44,1.2,57,1.4,286,7.7,1873,50.4,1818,48.9,32,0.9,281,7.6,1395,37.5,24,0.6,29,0.8,15,0.4,541,14.6,1899,51.1,15,0.4,221,5.9,1844,49.6,4,0.1,1774,47.7,580,15.6,2599,69.9,130,3.5,2081,56,514,13.8,281,7.5,593,15.9
"'072904",6,24,25,23,9.5,241,1,0.4,40,212,18.9,0,0,1,0.4,0,0,19,7.9,81,33.6,115,47.7,0,0,14,5.8,18,7.5,2,0.8,0,0,5,2.1,0,0,126,52.3,0,0,9,3.7,160,66.4,2,0.8,18,7.5,29,12,241,100,10,4.1,204,84.6,0,0,14,5.8,30,12.4
"'072908",2,6.7,30,7,2.3,311,0,0,40,289,13.8,3,1,0,0,0,0,10,3.2,39,12.5,157,50.5,0,0,4,1.3,51,16.4,0,0,0,0,1,0.3,3,1,154,49.5,0,0,0,0,272,87.5,0,0,53,17,23,7.4,309,99.4,12,3.9,247,79.4,3,1,4,1.3,24,7.7
"'072909",2,5.7,35,31,11,282,0,0,26,267,9.7,56,19.9,1,0.4,2,0.7,25,8.9,149,52.8,132,46.8,0,0,36,12.8,132,46.8,0,0,2,0.7,0,0,56,19.9,150,53.2,4,1.4,20,7.1,133,47.2,0,0,105,37.2,31,11,282,100,4,1.4,145,51.4,56,19.9,36,12.8,31,11
"'072910",1,16.7,6,9,7.8,116,0,0,26,110,23.6,0,0,0,0,0,0,5,4.3,58,50,52,44.8,0,0,15,12.9,13,11.2,0,0,1,0.9,0,0,0,0,64,55.2,0,0,4,3.4,58,50,0,0,32,27.6,7,6,116,100,8,6.9,95,81.9,0,0,15,12.8,8,6.8
"'073901",7,11.3,62,27,4.9,553,2,0.4,65,512,12.7,105,19,118,21.3,2,0.3,32,5.8,506,91.5,266,48.1,4,0.7,26,4.7,325,58.8,12,2.2,1,0.2,2,0.4,119,21.5,287,51.9,1,0.2,1,0.2,47,8.5,0,0,337,60.9,49,8.9,553,100,19,3.4,87,15.7,105,19,26,4.7,49,8.9
"'073903",18,18.8,96,23,2.5,926,4,0.4,72,700,10.3,160,17.3,496,53.6,23,2.4,36,3.9,919,99.2,437,47.2,3,0.3,16,1.7,348,37.6,0,0,3,0.3,0,0,160,17.3,489,52.8,0,0,4,0.4,7,0.8,0,0,683,73.8,101,10.9,925,99.9,27,2.9,51,5.5,160,17.3,16,1.7,101,10.9
"'073904",2,9.1,22,8,5.2,154,0,0,9,143,6.3,1,0.6,2,1.3,0,0,7,4.5,27,17.5,77,50,0,0,12,7.8,10,6.5,2,1.3,0,0,0,0,4,2.6,77,50,0,0,2,1.3,127,82.5,0,0,42,27.3,21,13.6,154,100,5,3.2,137,89,1,0.6,12,7.8,21,13.6
"'073905",14,14.6,96,71,9.4,752,1,0.1,67,581,11.5,45,6,64,8.5,8,1,60,8,480,63.8,385,51.2,1,0.1,47,6.3,264,35.1,2,0.3,3,0.4,0,0,49,6.5,367,48.8,0,0,14,1.9,272,36.2,1,0.1,429,57,99,13.2,751,99.9,47,6.3,375,49.9,45,6,47,6.2,102,13.5
"'074903",56,17.4,321,201,10.6,1899,12,0.6,192,1256,15.3,320,16.9,115,6.1,36,1.7,170,9,1302,68.6,865,45.6,8,0.4,103,5.4,593,31.2,46,2.4,22,1.2,14,0.7,326,17.2,1034,54.4,0,0,36,1.9,597,31.4,2,0.1,1049,55.2,360,19,1895,99.8,112,5.9,1051,55.3,320,16.9,103,5.4,360,19
"'074904",7,15.2,46,11,3.3,330,0,0,31,302,10.3,7,2.1,0,0,0,0,9,2.7,128,38.8,159,48.2,0,0,10,3,39,11.8,3,0.9,0,0,0,0,7,2.1,171,51.8,0,0,7,2.1,202,61.2,0,0,74,22.4,46,13.9,330,100,8,2.4,283,85.8,7,2.1,10,3,47,14.2
"'074905",11,19,58,29,12.6,230,1,0.4,41,190,21.6,7,3,5,2.2,1,0.4,23,10,121,52.6,108,47,1,0.4,1,0.4,29,12.6,3,1.3,0,0,2,0.9,7,3,122,53,0,0,2,0.9,109,47.4,0,0,98,42.6,55,23.9,230,100,5,2.2,188,81.7,7,3,1,0.4,55,23.9
"'074907",12,10.3,116,83,13.5,616,1,0.2,47,478,9.8,57,9.3,42,6.8,4,0.6,75,12.2,365,59.3,306,49.7,1,0.2,38,6.2,137,22.2,18,2.9,0,0,1,0.2,57,9.3,310,50.3,0,0,25,4.1,251,40.7,0,0,193,31.3,103,16.7,398,64.6,36,5.8,399,64.8,57,9.2,38,6.2,104,16.9
"'074909",8,7.1,112,107,13.1,814,1,0.1,69,581,11.9,47,5.8,12,1.5,3,0.3,76,9.3,483,59.3,375,46.1,0,0,48,5.9,183,22.5,14,1.7,0,0,5,0.6,50,6.1,439,53.9,0,0,9,1.1,331,40.7,0,0,324,39.8,104,12.8,363,44.6,53,6.5,560,68.8,47,5.8,48,5.9,104,12.8
"'074911",2,4.1,49,37,11.6,319,1,0.3,41,274,15,9,2.8,2,0.6,0,0,21,6.6,181,56.7,137,42.9,1,0.3,24,7.5,37,11.6,2,0.6,1,0.3,2,0.6,9,2.8,182,57.1,0,0,1,0.3,138,43.3,0,0,108,33.9,54,16.9,187,58.6,11,3.4,266,83.4,9,2.8,24,7.5,54,16.9
"'074912",15,14.6,103,63,9,699,0,0,86,558,15.4,87,12.4,7,1,5,0.6,42,6,282,40.3,328,46.9,0,0,46,6.6,189,27,3,0.4,2,0.3,8,1.1,87,12.4,371,53.1,0,0,3,0.4,417,59.7,0,0,231,33,95,13.6,299,42.8,20,2.9,475,68,87,12.4,46,6.6,95,13.6
"'074917",10,12.2,82,59,11.7,506,0,0,62,456,13.6,25,4.9,0,0,6,1.1,49,9.7,232,45.8,264,52.2,3,0.6,26,5.1,49,9.7,0,0,0,0,2,0.4,25,4.9,242,47.8,1,0.2,7,1.4,274,54.2,0,0,33,6.5,81,16,281,55.5,17,3.4,438,86.6,25,4.9,26,5.1,81,16
"'075901",12,13.8,87,58,8.8,658,2,0.3,39,531,7.3,56,8.5,23,3.5,7,1.1,39,5.9,340,51.7,307,46.7,14,2.1,64,9.7,329,50,22,3.3,0,0,0,0,56,8.5,351,53.3,34,5.2,0,0,318,48.3,2,0.3,173,26.3,94,14.3,656,99.7,11,1.7,291,44.2,56,8.5,64,9.7,97,14.7
"'075902",27,9.1,296,120,6.4,1879,6,0.3,116,1462,7.9,328,17.5,146,7.8,56,2.8,105,5.6,1084,57.7,894,47.6,4,0.2,120,6.4,795,42.3,15,0.8,18,1,4,0.2,332,17.7,985,52.4,0,0,15,0.8,795,42.3,0,0,824,43.9,309,16.4,1295,68.9,71,3.8,857,45.6,328,17.4,120,6.4,313,16.6
"'075903",14,12.2,115,58,8.5,682,7,1,57,601,9.5,93,13.6,93,13.6,12,1.6,55,8.1,448,65.7,357,52.3,0,0,55,8.1,268,39.3,4,0.6,0,0,0,0,93,13.6,325,47.7,2,0.3,7,1,234,34.3,0,0,245,35.9,112,16.4,682,100,15,2.2,299,43.8,93,13.5,55,8,117,17
"'075906",1,3.6,28,19,6.3,302,0,0,15,270,5.6,19,6.3,4,1.3,5,1.7,10,3.3,69,22.8,151,50,0,0,31,10.3,51,16.9,0,0,5,1.7,0,0,19,6.3,151,50,0,0,1,0.3,233,77.2,0,0,78,25.8,32,10.6,279,92.4,6,2,241,79.8,19,6.3,31,10.3,32,10.6
"'075908",0,0,26,19,7.5,253,0,0,15,209,7.2,26,10.3,6,2.4,9,3.6,13,5.1,89,35.2,152,60.1,3,1.2,8,3.2,61,24.1,0,0,0,0,0,0,26,10.3,101,39.9,0,0,17,6.7,164,64.8,0,0,77,30.4,26,10.3,141,55.7,8,3.2,178,70.4,26,10.2,8,3.1,27,10.6
"'076903",7,14,50,22,6.9,319,0,0,44,315,14,11,3.4,3,0.9,1,0.3,21,6.6,174,54.5,150,47,0,0,16,5,107,33.5,6,1.9,0,0,0,0,11,3.4,169,53,3,0.9,0,0,145,45.5,0,0,137,42.9,40,12.5,319,100,5,1.6,204,63.9,11,3.4,16,5,40,12.5
"'076904",11,30.6,36,18,6.9,262,0,0,33,231,14.3,9,3.4,14,5.3,1,0.3,8,3.1,182,69.5,120,45.8,2,0.8,18,6.9,133,50.8,28,10.7,0,0,1,0.4,9,3.4,142,54.2,0,0,4,1.5,80,30.5,0,0,51,19.5,38,14.5,262,100,7,2.7,107,40.8,9,3.4,18,6.9,38,14.5
"'077901",15,23.1,65,62,9.1,683,2,0.3,59,535,11,47,6.9,24,3.5,17,2.3,44,6.4,528,77.3,315,46.1,0,0,25,3.7,523,76.6,6,0.9,3,0.4,0,0,50,7.3,368,53.9,23,3.4,13,1.9,155,22.7,1,0.1,317,46.4,66,9.7,681,99.7,3,0.4,130,19,47,6.9,25,3.7,67,9.8
